epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.565,0.61591,1.36383,0.98453,0.83739,0.68855,0.74255,0.52904,1.13584,1.12152,0.95531,0.000413333,0.000413333,0.000413333
2,452.533,0.56789,0.70771,0.94046,0.8958,0.77817,0.85418,0.60419,1.06808,0.79673,0.93246,0.000824522,0.000824522,0.000824522
3,562.306,0.5528,0.61876,0.92306,0.9187,0.74242,0.80824,0.56486,1.08836,0.8327,0.94815,0.00123021,0.00123021,0.00123021
4,747.028,0.56604,0.59384,0.93432,0.86207,0.73123,0.83534,0.59071,1.05814,0.79658,0.93501,0.00122525,0.00122525,0.00122525
5,912.304,0.55674,0.56708,0.93271,0.89769,0.72522,0.80421,0.57566,1.07738,0.8087,0.94099,0.001217,0.001217,0.001217
6,1086.55,0.54521,0.55241,0.91982,0.90776,0.75059,0.84626,0.59531,1.0612,0.68739,0.93364,0.00120875,0.00120875,0.00120875
7,1209.45,0.53374,0.52277,0.92286,0.95067,0.74909,0.85854,0.61054,1.05433,0.69259,0.92964,0.0012005,0.0012005,0.0012005
8,1399.19,0.5474,0.51223,0.92223,0.90533,0.76485,0.85413,0.60868,1.04827,0.6858,0.92305,0.00119225,0.00119225,0.00119225
9,1592.25,0.54451,0.50088,0.93139,0.92453,0.72713,0.81944,0.59349,1.03372,0.69195,0.9288,0.001184,0.001184,0.001184
10,1803.88,0.55491,0.49713,0.91739,0.95569,0.74221,0.83388,0.57989,1.07273,0.82858,0.92704,0.00117575,0.00117575,0.00117575
11,1983.32,0.5434,0.48943,0.91983,0.89192,0.79084,0.86795,0.60555,1.03964,0.67054,0.93179,0.0011675,0.0011675,0.0011675
12,2275.08,0.52987,0.49662,0.91644,0.94437,0.73847,0.85161,0.58439,1.04154,0.67414,0.93204,0.00115925,0.00115925,0.00115925
13,2451.42,0.52686,0.49322,0.91116,0.87698,0.815,0.88771,0.62644,1.03121,0.62838,0.93466,0.001151,0.001151,0.001151
14,2628.23,0.5189,0.46858,0.91085,0.90598,0.79949,0.87677,0.598,1.02816,0.76029,0.91931,0.00114275,0.00114275,0.00114275
15,2815.97,0.52541,0.47403,0.90386,0.95831,0.75623,0.87924,0.60333,1.04642,0.67935,0.92227,0.0011345,0.0011345,0.0011345
16,3014.06,0.50998,0.47159,0.90432,0.87697,0.81548,0.87359,0.61321,1.01876,0.65555,0.92012,0.00112625,0.00112625,0.00112625
17,3195.76,0.49685,0.4508,0.89796,0.93874,0.78483,0.89627,0.62738,1.03824,0.6907,0.92118,0.001118,0.001118,0.001118
18,3395.23,0.49841,0.45602,0.90686,0.88339,0.80034,0.88863,0.60728,1.0458,0.67429,0.92772,0.00110975,0.00110975,0.00110975
19,3522.53,0.49451,0.44903,0.91227,0.91541,0.79679,0.90446,0.62695,1.05407,0.75861,0.92707,0.0011015,0.0011015,0.0011015
20,3713.44,0.51167,0.44957,0.91096,0.92411,0.79957,0.89154,0.61141,1.0456,0.82047,0.92127,0.00109325,0.00109325,0.00109325
21,3885,0.50241,0.4357,0.90719,0.88539,0.81413,0.87535,0.59056,1.0488,0.74097,0.91499,0.001085,0.001085,0.001085
22,4083.65,0.5141,0.44424,0.90456,0.92093,0.77395,0.87494,0.61982,1.04257,0.73193,0.92644,0.00107675,0.00107675,0.00107675
23,4281.19,0.47506,0.40746,0.89185,0.91,0.80313,0.898,0.6143,1.0415,0.68749,0.91946,0.0010685,0.0010685,0.0010685
24,4478.53,0.48926,0.42048,0.89911,0.83727,0.83435,0.88439,0.61046,1.03723,0.58392,0.91955,0.00106025,0.00106025,0.00106025
25,4694.75,0.49553,0.42576,0.90047,0.92198,0.7808,0.87183,0.60897,1.03377,0.73585,0.91383,0.001052,0.001052,0.001052
26,4901.42,0.48526,0.40614,0.90457,0.92392,0.77651,0.89486,0.62585,1.01391,0.61721,0.91328,0.00104375,0.00104375,0.00104375
27,5030.22,0.48568,0.42651,0.89808,0.92236,0.79455,0.89188,0.61537,1.01306,0.69835,0.91344,0.0010355,0.0010355,0.0010355
28,5183.36,0.49064,0.42919,0.9033,0.90541,0.80486,0.91253,0.63789,1.00171,0.65824,0.90661,0.00102725,0.00102725,0.00102725
29,5350.63,0.4849,0.41476,0.88919,0.90075,0.83103,0.89379,0.6063,0.99654,0.62928,0.90639,0.001019,0.001019,0.001019
30,5519.01,0.4765,0.40142,0.89096,0.90682,0.82721,0.89718,0.62293,1.01452,0.65838,0.90647,0.00101075,0.00101075,0.00101075
31,5688.02,0.50201,0.42416,0.90063,0.8927,0.82158,0.88069,0.59556,1.0701,0.70505,0.92223,0.0010025,0.0010025,0.0010025
32,5861.39,0.49484,0.43515,0.9015,0.91589,0.82943,0.89816,0.62226,1.01184,0.6493,0.91536,0.00099425,0.00099425,0.00099425
33,6047.82,0.48046,0.39435,0.89677,0.93204,0.82304,0.90308,0.62559,1.02973,0.66878,0.91528,0.000986,0.000986,0.000986
34,6247.05,0.46236,0.38404,0.88682,0.92269,0.83885,0.91457,0.63106,1.01188,0.66645,0.9092,0.00097775,0.00097775,0.00097775
35,6386.69,0.46915,0.3882,0.88872,0.89612,0.83965,0.90079,0.63208,0.9868,0.65905,0.89973,0.0009695,0.0009695,0.0009695
36,6580.75,0.47511,0.40411,0.89213,0.90061,0.81944,0.90271,0.63288,0.99577,0.6139,0.91682,0.00096125,0.00096125,0.00096125
