epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.246,1.01736,6.06162,1.486,0.69257,0.41619,0.4691,0.36337,1.05935,1.61559,1.09855,0.000254085,0.000254085,0.000254085
2,584.986,0.88268,1.47435,1.28398,0.88661,0.66171,0.68664,0.52157,1.02301,0.76476,1.08004,0.000503199,0.000503199,0.000503199
3,841.644,0.82039,1.02741,1.19748,0.75236,0.70406,0.74044,0.56111,0.98948,0.68882,1.05727,0.000745063,0.000745063,0.000745063
4,1030.28,0.78906,0.93932,1.16266,0.69564,0.68362,0.71709,0.53444,1.04846,0.71728,1.07291,0.000736372,0.000736372,0.000736372
5,1266.89,0.77958,0.86007,1.1569,0.81792,0.71531,0.74174,0.56134,1.01425,0.68035,1.06202,0.000725497,0.000725497,0.000725497
6,1541.48,0.77138,0.8068,1.1406,0.87661,0.79102,0.82438,0.61009,0.97254,0.61798,1.04109,0.000714621,0.000714621,0.000714621
7,1767.88,0.7505,0.81504,1.13245,0.83187,0.7996,0.82879,0.62361,0.96934,0.61151,1.03375,0.000703745,0.000703745,0.000703745
8,1940.48,0.71907,0.73762,1.11711,0.86697,0.80328,0.85584,0.64131,0.97596,0.58438,1.02759,0.000692869,0.000692869,0.000692869
9,2154.3,0.75422,0.74375,1.1198,0.89087,0.80654,0.84744,0.63629,0.95775,0.57017,1.02215,0.000681993,0.000681993,0.000681993
10,2354.89,0.71543,0.70471,1.08889,0.88027,0.80758,0.85006,0.62787,0.98019,0.63499,1.03653,0.000671117,0.000671117,0.000671117
11,2648.73,0.70409,0.66724,1.08611,0.93436,0.87161,0.90195,0.662,0.95301,0.53943,1.02694,0.000660241,0.000660241,0.000660241
12,2938.21,0.71364,0.66861,1.08853,0.87776,0.71573,0.79745,0.59222,1.10995,0.7448,1.16017,0.000649366,0.000649366,0.000649366
13,3194.51,0.69268,0.66089,1.07406,0.91283,0.8708,0.90264,0.68104,0.93908,0.52627,1.02005,0.00063849,0.00063849,0.00063849
14,3436.6,0.68238,0.62272,1.06908,0.87433,0.826,0.84904,0.63585,0.98132,0.58217,1.03162,0.000627614,0.000627614,0.000627614
15,3740.41,0.68076,0.63777,1.06939,0.90086,0.8242,0.85589,0.63993,0.99164,0.57531,1.04143,0.000616738,0.000616738,0.000616738
16,4009.9,0.6935,0.64374,1.06356,0.89579,0.88074,0.90527,0.68989,0.94727,0.50289,1.01703,0.000605862,0.000605862,0.000605862
17,4239.42,0.68429,0.59946,1.05187,0.93689,0.87635,0.91311,0.68876,0.95333,0.51153,1.01725,0.000594986,0.000594986,0.000594986
18,4454.1,0.67568,0.61812,1.05605,0.85126,0.83364,0.83215,0.63183,0.97831,0.57639,1.04055,0.00058411,0.00058411,0.00058411
19,4699.53,0.68998,0.63925,1.06356,0.9324,0.84093,0.89022,0.67709,0.93444,0.50386,1.01422,0.000573235,0.000573235,0.000573235
20,4957.91,0.65794,0.57142,1.05137,0.9163,0.89238,0.90433,0.68267,0.94139,0.48504,1.01374,0.000562359,0.000562359,0.000562359
21,5215.02,0.65137,0.5594,1.03901,0.89431,0.90617,0.90101,0.67864,0.95507,0.52194,1.02608,0.000551483,0.000551483,0.000551483
22,5426.59,0.66201,0.59345,1.04525,0.89161,0.88399,0.90327,0.67771,0.95016,0.5042,1.01593,0.000540607,0.000540607,0.000540607
23,5630.46,0.64467,0.56475,1.02224,0.91871,0.8969,0.90513,0.68872,0.92524,0.5155,1.00376,0.000529731,0.000529731,0.000529731
