epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.269,0.70593,0.5852,1.06774,0.80819,0.63791,0.73319,0.51311,1.06197,0.85492,1.07715,0.000207729,0.000207729,0.000207729
2,372.032,0.73454,0.58093,1.08198,0.71561,0.68268,0.7234,0.5044,1.07544,0.81412,1.08421,0.000399587,0.000399587,0.000399587
3,556.542,0.74677,0.58495,1.08787,0.69419,0.69291,0.71608,0.50029,1.09902,0.8108,1.10655,0.000574944,0.000574944,0.000574944
4,735.875,0.74757,0.58167,1.07781,0.75939,0.69993,0.7434,0.51784,1.08533,0.77462,1.09232,0.00055075,0.00055075,0.00055075
5,922.507,0.7486,0.58201,1.08324,0.79045,0.69651,0.75037,0.52328,1.08954,0.75311,1.10138,0.000526,0.000526,0.000526
6,1137.73,0.72972,0.56389,1.07184,0.75888,0.71292,0.75277,0.52962,1.08008,0.7554,1.08754,0.00050125,0.00050125,0.00050125
7,1322.15,0.74367,0.56874,1.08345,0.76817,0.65092,0.71667,0.50433,1.0849,0.84275,1.08568,0.0004765,0.0004765,0.0004765
8,1502.7,0.73347,0.56259,1.07397,0.73339,0.69954,0.7324,0.51196,1.0779,0.76679,1.09446,0.00045175,0.00045175,0.00045175
9,1688.56,0.74296,0.57348,1.07558,0.699,0.72217,0.72929,0.50391,1.08839,0.77107,1.08877,0.000427,0.000427,0.000427
10,1875.27,0.74509,0.56417,1.07328,0.75836,0.7061,0.74631,0.51644,1.09729,0.77092,1.09504,0.00040225,0.00040225,0.00040225
11,2055.93,0.70459,0.52365,1.05967,0.71902,0.71822,0.74481,0.52395,1.08626,0.7681,1.08029,0.0003775,0.0003775,0.0003775
12,2242.44,0.72301,0.53741,1.06358,0.74902,0.71091,0.74437,0.51702,1.07994,0.75135,1.093,0.00035275,0.00035275,0.00035275
