epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.821,0.62458,0.57156,1.01097,0.92331,0.90196,0.90783,0.67489,1.00695,0.50608,1.02357,0.000254528,0.000254528,0.000254528
2,198.301,0.62758,0.56092,1.01623,0.92372,0.87227,0.91431,0.68289,0.99026,0.56367,1.02093,0.000485574,0.000485574,0.000485574
3,300.762,0.63621,0.59717,1.02885,0.93324,0.88955,0.90558,0.67157,1.00782,0.54228,1.02051,0.000691243,0.000691243,0.000691243
4,399.502,0.62767,0.5712,1.02039,0.90986,0.88601,0.90077,0.64816,1.0155,0.555,1.02659,0.000654804,0.000654804,0.000654804
5,485.709,0.63903,0.60527,1.03868,0.91548,0.89371,0.89688,0.67866,0.98391,0.56823,1.01571,0.000616738,0.000616738,0.000616738
6,609.649,0.65201,0.59593,1.02375,0.94275,0.89708,0.9175,0.68485,1.02295,0.54087,1.02888,0.000578672,0.000578672,0.000578672
7,708.482,0.63338,0.59778,1.02238,0.9069,0.89568,0.91274,0.68998,0.98109,0.53982,1.00702,0.000540607,0.000540607,0.000540607
8,809.168,0.60973,0.55862,1.00359,0.92036,0.89831,0.90712,0.68252,0.99259,0.55468,1.0108,0.000502541,0.000502541,0.000502541
9,907.575,0.61646,0.57698,1.02002,0.9156,0.90914,0.90419,0.68104,0.99926,0.54724,1.01353,0.000464476,0.000464476,0.000464476
10,996.925,0.61316,0.5533,1.0048,0.89612,0.90694,0.90364,0.66168,1.02438,0.56756,1.03191,0.000426411,0.000426411,0.000426411
11,1113.46,0.66729,0.53389,0.95867,0.91857,0.90026,0.90997,0.67822,0.99933,0.50818,1.0167,0.000388345,0.000388345,0.000388345
12,1211.53,0.65634,0.54082,0.9719,0.91124,0.90629,0.91254,0.6831,0.99098,0.53905,1.00861,0.00035028,0.00035028,0.00035028
13,1299.17,0.66074,0.53701,0.95365,0.92124,0.89763,0.91179,0.67465,1.00815,0.54742,1.01834,0.000312214,0.000312214,0.000312214
14,1397.17,0.64647,0.50724,0.95184,0.926,0.90817,0.91318,0.68276,0.98406,0.52968,1.00838,0.000274148,0.000274148,0.000274148
