epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8567.69,0.49617,0.40763,0.93303,0.85541,0.76573,0.80544,0.6532,1.07014,1.00732,1.55811,0.00113898,0.00113898,0.00113898
43,8771,0.45341,0.39065,0.92723,0.79883,0.70063,0.74035,0.49184,1.46182,1.16571,2.25902,0.00113191,0.00113191,0.00113191
44,8974.33,0.47811,0.40047,0.93256,0.92849,0.82031,0.90721,0.72087,0.75346,0.7807,1.14218,0.00112484,0.00112484,0.00112484
45,9177.13,0.48159,0.4005,0.91925,0.99192,0.99993,0.99376,0.90983,0.39912,0.32767,0.86486,0.00111776,0.00111776,0.00111776
46,9379.56,0.45791,0.39026,0.92095,0.97565,0.96539,0.98444,0.86687,0.49072,0.40082,0.94369,0.00111069,0.00111069,0.00111069
47,9582.81,0.45819,0.38733,0.90852,0.97574,0.9501,0.97493,0.87015,0.49242,0.41796,0.9478,0.00110362,0.00110362,0.00110362
48,9786.12,0.44727,0.37738,0.92355,0.97639,0.95926,0.98302,0.87049,0.49635,0.42541,0.92091,0.00109654,0.00109654,0.00109654
49,9989.38,0.45679,0.38113,0.91441,0.98279,0.9676,0.98745,0.89807,0.42052,0.33904,0.87693,0.00108947,0.00108947,0.00108947
50,10191.8,0.43596,0.36314,0.90785,0.99162,0.99401,0.99489,0.90299,0.39986,0.3487,0.86198,0.0010824,0.0010824,0.0010824
51,10394.7,0.4716,0.38135,0.91552,0.87051,0.77736,0.80016,0.68568,0.85165,0.77151,1.30448,0.00107532,0.00107532,0.00107532
52,10598.7,0.47934,0.38326,0.92101,0.92458,0.8742,0.92053,0.78973,0.6671,0.54689,1.0472,0.00106825,0.00106825,0.00106825
53,10802.1,0.46281,0.37754,0.94064,0.97589,0.80557,0.88275,0.77686,0.66777,0.72662,1.11867,0.00106118,0.00106118,0.00106118
54,11005.1,0.45348,0.36526,0.91844,0.9822,0.99401,0.99299,0.90991,0.39222,0.33617,0.85798,0.0010541,0.0010541,0.0010541
55,11208.5,0.45651,0.38273,0.921,0.98767,0.9992,0.99476,0.91676,0.37997,0.29914,0.84634,0.00104703,0.00104703,0.00104703
56,11411.5,0.43089,0.34605,0.9061,0.99559,1,0.99448,0.90931,0.3947,0.29008,0.87314,0.00103995,0.00103995,0.00103995
57,11614.6,0.44714,0.37131,0.93403,0.98969,0.99941,0.99457,0.91494,0.39277,0.30438,0.85646,0.00103288,0.00103288,0.00103288
58,11819.2,0.45773,0.35533,0.9105,0.98786,0.99096,0.99457,0.91832,0.38947,0.31143,0.88375,0.00102581,0.00102581,0.00102581
59,12023.1,0.4774,0.36751,0.91871,0.99388,1,0.99495,0.92413,0.3843,0.28817,0.86961,0.00101873,0.00101873,0.00101873
60,12225.8,0.48263,0.38701,0.93519,0.99457,0.99897,0.99472,0.92478,0.38546,0.29189,0.86026,0.00101166,0.00101166,0.00101166
61,12428.5,0.43506,0.33606,0.91144,0.99087,0.99579,0.995,0.92192,0.37892,0.28415,0.85692,0.00100459,0.00100459,0.00100459
62,12631.9,0.42521,0.34585,0.89361,0.97871,0.96806,0.99035,0.90684,0.41942,0.31685,0.87023,0.000997513,0.000997513,0.000997513
63,12834.2,0.4129,0.34797,0.90752,0.99578,0.98966,0.99385,0.92162,0.37431,0.29175,0.84542,0.00099044,0.00099044,0.00099044
64,13037.4,0.42942,0.34748,0.90561,0.99614,1,0.993,0.92434,0.37145,0.27373,0.84285,0.000983366,0.000983366,0.000983366
65,13239.9,0.41245,0.33284,0.91803,0.99667,1,0.99419,0.92142,0.37839,0.27384,0.84238,0.000976293,0.000976293,0.000976293
66,13444.1,0.43191,0.34585,0.91192,0.99339,1,0.99402,0.91914,0.36257,0.2743,0.83902,0.000969219,0.000969219,0.000969219
67,13647.4,0.44106,0.34254,0.90018,0.99532,1,0.9948,0.91445,0.37387,0.26935,0.84845,0.000962146,0.000962146,0.000962146
68,13850.2,0.42144,0.34264,0.9125,0.99135,0.998,0.99487,0.91429,0.3798,0.29912,0.84475,0.000955072,0.000955072,0.000955072
69,14052.5,0.44348,0.35144,0.91353,0.99667,0.99925,0.99445,0.92111,0.37179,0.27747,0.83988,0.000947999,0.000947999,0.000947999
70,14256.1,0.4263,0.332,0.90242,0.9553,0.99201,0.9735,0.85298,0.53108,0.36006,0.9514,0.000940925,0.000940925,0.000940925
