epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.575,0.72274,1.44668,1.06043,0.64472,0.75457,0.76253,0.6369,0.59119,2.04689,0.89229,0.000467827,0.000467827,0.000467827
2,800.921,0.66579,0.89541,1.00931,0.63425,0.77946,0.76275,0.57624,0.79637,1.56829,1.03572,0.000937929,0.000937929,0.000937929
3,1155.19,0.6814,0.85673,1.03101,0.68045,0.61378,0.65888,0.52313,0.83412,1.68349,1.03137,0.00140174,0.00140174,0.00140174
4,1501.13,0.71207,0.81682,1.03228,0.0536,0.26821,0.09698,0.06145,2.02684,6.16722,1.95427,0.00140071,0.00140071,0.00140071
5,1838.97,0.63601,0.6713,0.99315,0.84064,0.87996,0.87413,0.72771,0.67761,0.77407,0.95172,0.00139127,0.00139127,0.00139127
6,2319.15,0.62803,0.64117,0.99824,0.71669,0.77439,0.79961,0.64677,0.70103,1.0345,0.97734,0.00138184,0.00138184,0.00138184
7,2805.22,0.60873,0.61687,0.98236,0.75279,0.78971,0.82256,0.6369,0.82077,0.83793,1.07161,0.00137241,0.00137241,0.00137241
8,3283.7,0.57792,0.54131,0.97093,0.88016,0.85667,0.88303,0.71141,0.75532,0.7273,1.00665,0.00136298,0.00136298,0.00136298
9,3751.78,0.55041,0.52638,0.96589,0.85792,0.82512,0.86128,0.73083,0.60859,0.70014,0.91486,0.00135355,0.00135355,0.00135355
10,4227.22,0.53994,0.51566,0.95925,0.64843,0.82582,0.74054,0.58815,0.72774,0.88854,1.04371,0.00134412,0.00134412,0.00134412
11,4703.01,0.53837,0.50736,0.963,0.89185,0.95736,0.94821,0.83636,0.49476,0.48703,0.85831,0.00133469,0.00133469,0.00133469
12,5177.25,0.52933,0.49003,0.95224,0.88148,0.96802,0.9484,0.82834,0.49879,0.50547,0.86176,0.00132525,0.00132525,0.00132525
13,5651.96,0.49774,0.46223,0.94382,0.90504,0.9619,0.95849,0.85122,0.50564,0.46644,0.86141,0.00131582,0.00131582,0.00131582
14,6121.61,0.51543,0.47405,0.93107,0.9219,0.95187,0.95808,0.85669,0.50189,0.48318,0.86617,0.00130639,0.00130639,0.00130639
15,6597.72,0.51092,0.45676,0.93958,0.83229,0.89941,0.8685,0.72904,0.5732,0.60362,0.90101,0.00129696,0.00129696,0.00129696
16,7073.06,0.49515,0.44953,0.94305,0.86643,0.85459,0.87463,0.73798,0.6422,0.67722,0.99668,0.00128753,0.00128753,0.00128753
17,7561.55,0.48837,0.42729,0.92832,0.82034,0.84775,0.87614,0.73951,0.61288,0.72147,0.91498,0.0012781,0.0012781,0.0012781
18,7983.62,0.49389,0.42474,0.93312,0.90875,0.95436,0.94956,0.83412,0.53181,0.48151,0.8657,0.00126867,0.00126867,0.00126867
19,8407.49,0.47878,0.44155,0.93715,0.85123,0.96192,0.92706,0.85012,0.45074,0.45489,0.84552,0.00125923,0.00125923,0.00125923
20,8821.35,0.48088,0.42205,0.9411,0.83335,0.96875,0.91725,0.83493,0.45262,0.46469,0.85128,0.0012498,0.0012498,0.0012498
