epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.219,0.64996,0.57886,1.04644,0.93478,0.87812,0.9067,0.70091,0.93342,0.47722,1.01553,0.000254085,0.000254085,0.000254085
2,514.896,0.63849,0.55659,1.03393,0.92696,0.88583,0.90479,0.6806,0.95101,0.50383,1.01505,0.000503199,0.000503199,0.000503199
3,708.354,0.65375,0.59581,1.03959,0.883,0.79021,0.83171,0.62622,1.00929,0.64041,1.05016,0.000745063,0.000745063,0.000745063
