epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.702,0.49195,0.51931,0.94243,0.84718,0.97592,0.90044,0.831,0.4035,0.40533,0.82323,0.00035725,0.00035725,0.00035725
2,738.469,0.45226,0.45399,0.92291,0.82514,0.97563,0.89044,0.81151,0.44226,0.4648,0.8319,0.000719771,0.000719771,0.000719771
3,1105.45,0.46218,0.44676,0.92315,0.85053,0.88389,0.89254,0.81073,0.46568,0.58599,0.83392,0.0010731,0.0010731,0.0010731
4,1472.82,0.48861,0.45219,0.9398,0.78072,0.83367,0.82215,0.71415,0.52102,0.65709,0.85719,0.00137595,0.00137595,0.00137595
5,1839.32,0.48577,0.4398,0.92475,0.89198,0.88082,0.92459,0.82493,0.50407,0.53166,0.86709,0.00135826,0.00135826,0.00135826
6,2206.91,0.50491,0.45501,0.92611,0.88542,0.93945,0.93533,0.8347,0.50557,0.51684,0.84972,0.00134058,0.00134058,0.00134058
7,2572.98,0.49873,0.43995,0.937,0.92437,0.90648,0.92971,0.8114,0.56532,0.5451,0.88806,0.0013229,0.0013229,0.0013229
8,2941.2,0.50515,0.44044,0.93097,0.85031,0.84516,0.88198,0.73539,0.71632,0.80037,0.97512,0.00130521,0.00130521,0.00130521
9,3310.86,0.5212,0.46379,0.9384,0.85105,0.9086,0.87927,0.77853,0.52925,0.57698,0.88877,0.00128753,0.00128753,0.00128753
10,3677.99,0.47486,0.41492,0.9199,0.86348,0.89267,0.90614,0.77567,0.59805,0.62989,0.92703,0.00126985,0.00126985,0.00126985
11,4045.07,0.45806,0.41457,0.91342,0.88035,0.97448,0.94023,0.84736,0.47571,0.51165,0.83156,0.00125216,0.00125216,0.00125216
12,4411.37,0.46732,0.40232,0.91953,0.84948,0.93484,0.89544,0.80185,0.46523,0.51911,0.84933,0.00123448,0.00123448,0.00123448
13,4777.64,0.46631,0.40202,0.92412,0.89497,0.97133,0.9497,0.85611,0.44411,0.44848,0.83465,0.00121679,0.00121679,0.00121679
14,5146.35,0.46172,0.3872,0.912,0.89841,0.97051,0.95441,0.87293,0.44999,0.44677,0.8285,0.00119911,0.00119911,0.00119911
15,5514.41,0.45837,0.38592,0.91217,0.84616,0.97469,0.90366,0.81233,0.45538,0.46004,0.83946,0.00118143,0.00118143,0.00118143
16,5881.58,0.44634,0.38808,0.90858,0.89037,0.97122,0.93519,0.83315,0.48111,0.46204,0.84743,0.00116374,0.00116374,0.00116374
17,6247.5,0.46178,0.38908,0.92118,0.81517,0.95875,0.92412,0.82069,0.53045,0.46884,0.87205,0.00114606,0.00114606,0.00114606
18,6613.65,0.4644,0.37846,0.91713,0.90908,0.97839,0.94706,0.86351,0.43448,0.43986,0.83217,0.00112837,0.00112837,0.00112837
19,6981.69,0.45922,0.36723,0.91252,0.89041,0.9694,0.9326,0.85556,0.43386,0.46188,0.82865,0.00111069,0.00111069,0.00111069
20,7349.35,0.44911,0.36854,0.91523,0.86832,0.93157,0.92059,0.83424,0.47417,0.47524,0.84419,0.00109301,0.00109301,0.00109301
21,7717.14,0.43719,0.35369,0.90392,0.90252,0.97815,0.9516,0.87127,0.4449,0.42017,0.83015,0.00107532,0.00107532,0.00107532
22,8083.71,0.44279,0.3722,0.91394,0.8922,0.97679,0.94285,0.86965,0.43198,0.43909,0.82612,0.00105764,0.00105764,0.00105764
23,8451.58,0.43563,0.35467,0.90336,0.88877,0.94172,0.9404,0.85052,0.47552,0.45629,0.85081,0.00103995,0.00103995,0.00103995
24,8818.44,0.44338,0.34876,0.90924,0.88304,0.97274,0.94605,0.85902,0.43655,0.43465,0.82832,0.00102227,0.00102227,0.00102227
25,9185.54,0.44469,0.35325,0.90032,0.87637,0.95348,0.93152,0.84542,0.42819,0.41546,0.83354,0.00100459,0.00100459,0.00100459
26,9552.32,0.43246,0.35983,0.91012,0.88101,0.97024,0.95075,0.87288,0.43113,0.41657,0.82201,0.000986903,0.000986903,0.000986903
27,9919.8,0.43825,0.34806,0.90958,0.91583,0.97531,0.94064,0.86549,0.44506,0.43253,0.82996,0.000969219,0.000969219,0.000969219
28,10289.3,0.43624,0.34757,0.90046,0.86413,0.95243,0.94104,0.87904,0.38252,0.39916,0.81644,0.000951535,0.000951535,0.000951535
29,10657.5,0.42177,0.34953,0.90001,0.9186,0.96525,0.94768,0.86756,0.43247,0.4161,0.82828,0.000933851,0.000933851,0.000933851
30,11026.1,0.42449,0.34101,0.90367,0.91228,0.97335,0.94573,0.87885,0.40458,0.39022,0.8217,0.000916168,0.000916168,0.000916168
31,11394.1,0.40481,0.33339,0.89111,0.89776,0.9794,0.95035,0.88498,0.40665,0.39501,0.81998,0.000898484,0.000898484,0.000898484
32,11761.3,0.41724,0.3317,0.90147,0.53284,0.63536,0.59413,0.46806,0.98062,1.39925,1.43925,0.0008808,0.0008808,0.0008808
33,12127.2,0.42115,0.32867,0.8903,0.89596,0.96072,0.94066,0.87741,0.40614,0.38993,0.81904,0.000863116,0.000863116,0.000863116
