epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.218,0.69006,0.66865,1.06079,0.89758,0.86484,0.88805,0.66088,1.03352,0.5785,1.05209,0.000254515,0.000254515,0.000254515
2,304.71,0.69946,0.71205,1.07954,0.89916,0.85816,0.8902,0.66701,1.01272,0.60817,1.04087,0.000503624,0.000503624,0.000503624
3,509.723,0.68297,0.65359,1.07117,0.84127,0.83998,0.85664,0.62179,1.05981,0.65989,1.06187,0.000745482,0.000745482,0.000745482
4,653.583,0.68741,0.69935,1.06987,0.84413,0.85233,0.8577,0.63825,1.04512,0.65573,1.05623,0.000736372,0.000736372,0.000736372
5,826.956,0.7026,0.68003,1.0606,0.91849,0.8424,0.87719,0.65405,1.03559,0.61184,1.04645,0.000725497,0.000725497,0.000725497
6,975.598,0.70079,0.68513,1.07616,0.91363,0.87362,0.90182,0.66532,1.01654,0.58114,1.04336,0.000714621,0.000714621,0.000714621
7,1112.88,0.69813,0.67746,1.06692,0.85904,0.8451,0.85996,0.64054,1.03055,0.64531,1.05038,0.000703745,0.000703745,0.000703745
8,1261.96,0.70325,0.68142,1.08257,0.9032,0.8678,0.88236,0.64696,1.03668,0.60223,1.04995,0.000692869,0.000692869,0.000692869
9,1422.66,0.68184,0.65866,1.05163,0.87458,0.86446,0.88176,0.63566,1.06413,0.6268,1.05848,0.000681993,0.000681993,0.000681993
10,1595.67,0.69678,0.6574,1.0643,0.86411,0.81731,0.84137,0.62067,1.0554,0.67973,1.0706,0.000671117,0.000671117,0.000671117
11,1728.33,0.68346,0.63532,1.06136,0.86719,0.85576,0.87554,0.64562,1.05138,0.61088,1.05048,0.000660241,0.000660241,0.000660241
12,1854.32,0.68738,0.66979,1.06834,0.8784,0.85646,0.88275,0.64939,1.02401,0.64614,1.03319,0.000649366,0.000649366,0.000649366
13,2046.17,0.68365,0.63407,1.04385,0.88271,0.86569,0.88609,0.65745,1.02871,0.58017,1.0392,0.00063849,0.00063849,0.00063849
14,2176.5,0.68918,0.64761,1.06053,0.84191,0.81154,0.84452,0.61714,1.02066,0.61146,1.0334,0.000627614,0.000627614,0.000627614
