epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.419,0.44558,0.4796,0.91726,0.90458,0.94819,0.96195,0.89199,0.3423,0.33632,0.83175,0.00031438,0.00031438,0.00031438
2,763.908,0.43957,0.41624,0.91662,0.93751,0.88824,0.96932,0.88355,0.38331,0.38109,0.84589,0.000633955,0.000633955,0.000633955
3,1140.3,0.4605,0.44255,0.9202,0.96773,0.93063,0.98269,0.89536,0.39892,0.33845,0.85256,0.000944234,0.000944234,0.000944234
4,1519.59,0.45913,0.4278,0.92255,0.92206,0.9109,0.96203,0.84907,0.46258,0.43908,0.87508,0.00124522,0.00124522,0.00124522
5,1897.3,0.47712,0.43434,0.91792,0.93938,0.8432,0.94749,0.83221,0.45439,0.50447,0.89155,0.00134816,0.00134816,0.00134816
6,2271.17,0.47991,0.42466,0.93001,0.82418,0.70814,0.82913,0.68416,0.67832,0.85813,1.09114,0.00132795,0.00132795,0.00132795
7,2644.63,0.46266,0.41396,0.92851,0.87688,0.75589,0.84066,0.72093,0.64666,0.69338,1.03831,0.00130774,0.00130774,0.00130774
