epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,753.005,0.43218,0.34239,0.90636,0.94856,0.94215,0.97973,0.71542,0.96901,0.59682,0.93603,0.000410053,0.000410053,0.000410053
2,1563.52,0.45961,0.36579,0.91184,0.95171,0.90679,0.96711,0.7135,0.94421,0.64429,0.92677,0.000821263,0.000821263,0.000821263
3,2358.29,0.4674,0.37805,0.90865,0.93648,0.90263,0.96491,0.69729,0.97607,0.61092,0.94381,0.00122697,0.00122697,0.00122697
4,3241.17,0.47405,0.39292,0.90844,0.93994,0.87388,0.95069,0.68727,0.95058,0.64265,0.93653,0.00122525,0.00122525,0.00122525
5,3962.12,0.47028,0.38291,0.91403,0.94649,0.92357,0.97215,0.71171,0.97238,0.56458,0.93707,0.001217,0.001217,0.001217
6,4733.15,0.46647,0.38358,0.90422,0.93555,0.92725,0.96236,0.68435,0.98567,0.64189,0.93816,0.00120875,0.00120875,0.00120875
7,5625.57,0.46064,0.3684,0.9078,0.94278,0.89934,0.95631,0.69777,0.96209,0.63205,0.94009,0.0012005,0.0012005,0.0012005
8,6489.14,0.46974,0.37373,0.90287,0.93577,0.93401,0.97352,0.65199,1.05215,0.56478,0.95459,0.00119225,0.00119225,0.00119225
9,7257.12,0.46546,0.37152,0.9039,0.91083,0.91473,0.9667,0.69517,0.95772,0.67273,0.93026,0.001184,0.001184,0.001184
10,8050.86,0.47476,0.37726,0.91302,0.95031,0.91222,0.96435,0.70201,0.96504,0.63626,0.93513,0.00117575,0.00117575,0.00117575
11,8838.26,0.47686,0.36745,0.91352,0.94087,0.91099,0.96505,0.68517,0.99164,0.66901,0.9407,0.0011675,0.0011675,0.0011675
