epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.143,0.55516,0.44861,1.10201,0.9366,0.94702,0.98659,0.75008,0.92702,0.55716,0.95962,0.000410053,0.000410053,0.000410053
2,309.278,0.50975,0.39735,0.99665,0.94491,0.95024,0.97655,0.72786,0.94552,0.61278,0.95928,0.000799438,0.000799438,0.000799438
3,456.899,0.53143,0.41454,0.98128,0.95665,0.9609,0.98503,0.74408,0.93269,0.54343,0.95804,0.00116132,0.00116132,0.00116132
4,612.607,0.53347,0.42178,0.97911,0.96381,0.95045,0.98463,0.74654,0.92643,0.6056,0.95703,0.00112625,0.00112625,0.00112625
5,797.573,0.5143,0.40348,0.97124,0.95559,0.9452,0.98688,0.74078,0.91803,0.64009,0.95624,0.001085,0.001085,0.001085
6,929.124,0.50035,0.39769,0.9684,0.9518,0.95879,0.9847,0.74254,0.94504,0.60035,0.95945,0.00104375,0.00104375,0.00104375
